5000 3628
1 3994 53
3994 1831 13
1 2940 37
1831 3607 50
3994 488 71
1 4348 45
2940 2857 84
3994 4618 7
3607 1965 46
1965 3060 13
3994 4343 5
4343 344 78
4343 2736 39
344 442 4
4618 3427 69
4348 2592 83
3427 3980 74
3994 208 68
3607 2554 43
4618 4016 2
2940 315 85
4343 3124 38
3060 3533 81
4016 2260 94
208 3572 68
488 4181 85
3533 4200 9
344 3990 1
4200 3443 51
1 1063 71
3533 697 77
442 2502 87
4200 189 99
4200 1428 34
3607 273 4
1428 2460 14
2554 2632 89
2592 3378 53
1063 2697 95
208 3825 74
3980 640 76
3990 4288 54
442 4655 87
3533 1530 14
3060 747 36
4288 3624 42
3624 1286 44
488 341 74
2697 3873 21
4288 4464 15
3533 2606 44
1831 129 49
3624 2921 60
1831 2703 78
1 2723 73
1286 4857 79
4348 2980 3
747 1905 35
3572 458 87
4857 2069 14
4464 956 85
458 3840 71
3533 4752 33
1286 2361 66
2502 424 43
424 800 81
1831 3179 61
2632 647 36
3624 1214 32
4348 2249 56
647 3204 81
4348 3922 81
2260 3614 59
4181 1670 66
3607 321 6
458 3218 40
1530 236 60
458 907 13
4016 4513 86
2460 4331 33
4348 3740 58
3614 3393 77
3873 4427 6
3624 4544 8
800 1394 13
3393 3479 31
956 2094 22
2736 3979 95
747 450 49
3218 4409 94
3479 2656 35
3572 4867 45
800 3095 8
1530 981 42
450 4384 87
4464 4083 99
2249 3381 40
3124 285 39
2460 1210 7
3218 3553 29
2260 3719 67
3980 2909 80
2656 4325 9
3994 2686 57
4618 3664 93
4200 4233 83
450 3183 16
1530 4975 59
2703 400 81
2857 1332 40
4288 314 28
3060 522 53
236 1754 84
341 963 23
2249 3948 25
4544 3985 78
1670 3650 6
2361 1316 80
2260 2080 27
3572 4115 28
1428 2863 38
2249 3819 25
3614 2222 88
522 4139 84
4331 3395 2
341 625 22
747 1140 97
2361 4244 48
1063 4796 22
4618 1300 81
4200 4929 8
4752 4074 67
4427 31 37
2857 2290 65
647 3287 99
442 4033 100
189 4966 56
4618 1693 20
1316 1059 77
4115 1170 74
3393 517 11
3614 3054 39
1300 2856 65
981 4678 62
4857 1570 32
1394 1033 56
963 2978 27
2606 979 81
400 2540 49
1170 3158 47
1670 3150 72
4678 4851 80
3980 142 96
2703 4899 9
2703 480 21
4544 4762 75
4409 3977 8
400 3762 71
2222 2268 26
314 4030 10
3994 325 6
522 1092 90
1170 610 23
